center,branch,cap,comparator,metric,updated_minus_comparator,ci_low,ci_high,bootstrap_replicates,bootstrap_seed,bootstrap_strata
pooled_four_center_loco,xgboost,low,archived_rfecv_only,balanced_accuracy,0.05337260337260341,0.010163432663432639,0.09486168861168855,2000,42,heldout_center x true_class
pooled_four_center_loco,xgboost,low,archived_rfecv_only,macro_f1,0.06932817323908913,0.025074690192774078,0.11242040501095413,2000,42,heldout_center x true_class
pooled_four_center_loco,xgboost,reference,archived_locked_medoid,macro_auroc,0.015082096440746096,-0.007309748927120496,0.037198311913355306,2000,42,heldout_center x true_class
pooled_four_center_loco,xgboost,reference,archived_locked_medoid,macro_auprc,0.0003386418551003523,-0.03648080075853218,0.036347039189466496,2000,42,heldout_center x true_class
pooled_four_center_loco,xgboost,reference,archived_locked_medoid,balanced_accuracy,0.018456918456918547,-0.026518826518826533,0.05955388080388073,2000,42,heldout_center x true_class
pooled_four_center_loco,xgboost,reference,archived_locked_medoid,macro_f1,0.015759542390137327,-0.03175678079238205,0.060323846501038315,2000,42,heldout_center x true_class
pooled_four_center_loco,xgboost,reference,archived_rfecv_only,macro_auroc,-0.02072128455290423,-0.0435590232161808,0.0012695146445245678,2000,42,heldout_center x true_class
pooled_four_center_loco,xgboost,reference,archived_rfecv_only,macro_auprc,-0.014830422358806938,-0.047353220889652846,0.02118344781565526,2000,42,heldout_center x true_class
pooled_four_center_loco,xgboost,reference,archived_rfecv_only,balanced_accuracy,0.009216909216909208,-0.033218121968121975,0.055002021252021235,2000,42,heldout_center x true_class
pooled_four_center_loco,xgboost,reference,archived_rfecv_only,macro_f1,-0.005837132764220487,-0.05102656834373602,0.04377768718444472,2000,42,heldout_center x true_class
