view,branch,comparison,metric,delta,ci_low,ci_high,bootstrap_replicates,paired
full_1781,svm_l1,Locked - Direct,AUROC,0.06944444444444442,-0.020862268518518502,0.16553819444444423,2000,True
full_1781,svm_l1,Locked - RFECV,AUROC,-0.06597222222222221,-0.18981481481481466,0.05326967592592584,2000,True
full_1781,xgboost,Locked - Direct,AUROC,0.04166666666666674,-0.04976851851851838,0.13657407407407413,2000,True
full_1781,xgboost,Locked - RFECV,AUROC,-0.06018518518518512,-0.13888888888888895,0.012731481481481514,2000,True
full_1781,boruta_rf,Locked - Direct,AUROC,-0.0011574074074073293,-0.053240740740740755,0.05555555555555558,2000,True
full_1781,boruta_rf,Locked - RFECV,AUROC,-0.0011574074074073293,-0.053240740740740755,0.05555555555555558,2000,True
stable_1346,svm_l1,Locked - Direct,AUROC,0.005787037037037035,-0.06365740740740744,0.07754629629629628,2000,True
stable_1346,svm_l1,Locked - RFECV,AUROC,-0.01157407407407407,-0.16666666666666663,0.1412037037037036,2000,True
stable_1346,xgboost,Locked - Direct,AUROC,-0.00694444444444442,-0.12618634259259262,0.11226851851851849,2000,True
stable_1346,xgboost,Locked - RFECV,AUROC,-0.06828703703703703,-0.22569444444444442,0.08686342592592569,2000,True
stable_1346,boruta_rf,Locked - Direct,AUROC,-1.1102230246251565e-16,-0.06249999999999989,0.06018518518518512,2000,True
stable_1346,boruta_rf,Locked - RFECV,AUROC,-1.1102230246251565e-16,-0.06249999999999989,0.06018518518518512,2000,True
stable_vs_full,svm_l1,Stable locked - Full locked,AUROC,-0.0625,-0.21183449074074087,0.0752314814814814,2000,True
stable_vs_full,xgboost,Stable locked - Full locked,AUROC,-0.1342592592592593,-0.2835648148148147,0.002343749999999906,2000,True
stable_vs_full,boruta_rf,Stable locked - Full locked,AUROC,-1.1102230246251565e-16,-0.13773148148148145,0.13891782407407396,2000,True
