branch,current_method,comparator,metric,difference,ci_low,ci_high,bootstrap_resamples
xgboost,regret_constrained_medoid,legacy_top3_medoid,accuracy,0.0020366598778003,-0.0142566191446028,0.0203665987780039,2000
xgboost,regret_constrained_medoid,legacy_top3_medoid,macro_f1,0.0012801330447488,-0.0167173593764002,0.0201458046944043,2000
xgboost,regret_constrained_medoid,unrestricted_medoid,macro_ovr_auroc,0.0089501397128729,0.000126065240443,0.0176222501765378,2000
xgboost,regret_constrained_medoid,unrestricted_medoid,macro_auprc,0.0167617441681733,0.0009393782516811,0.0328107533434384,2000
xgboost,regret_constrained_medoid,unrestricted_medoid,balanced_accuracy,0.0095145741321468,-0.0090702748315738,0.028578069502137,2000
xgboost,regret_constrained_medoid,unrestricted_medoid,accuracy,0.0112016293279022,-0.0081466395112016,0.0305498981670062,2000
xgboost,regret_constrained_medoid,unrestricted_medoid,macro_f1,0.0079745948758678,-0.0127007411287552,0.0287833868484375,2000
boruta_rf,regret_constrained_medoid,direct,macro_ovr_auroc,-0.0155781098546485,-0.0248510437095982,-0.0061707377168269,2000
boruta_rf,regret_constrained_medoid,direct,macro_auprc,-0.017852212043791,-0.0316852471948325,-0.0040487426206262,2000
boruta_rf,regret_constrained_medoid,direct,balanced_accuracy,-0.0102544316197918,-0.0288064863918215,0.0077995311157448,2000
boruta_rf,regret_constrained_medoid,direct,accuracy,-0.0142566191446028,-0.0346232179226069,0.0050916496945009,2000
boruta_rf,regret_constrained_medoid,direct,macro_f1,-0.0076259600518613,-0.0290500072272734,0.0127150463900091,2000
boruta_rf,regret_constrained_medoid,rfecv_only,macro_ovr_auroc,0.0053583132749289,-0.0125420330251997,0.022509664844252,2000
boruta_rf,regret_constrained_medoid,rfecv_only,macro_auprc,0.0112366787710537,-0.015169959354167,0.0364765140160272,2000
boruta_rf,regret_constrained_medoid,rfecv_only,balanced_accuracy,-0.0152233459755584,-0.0430471148636444,0.0087192803509174,2000
boruta_rf,regret_constrained_medoid,rfecv_only,accuracy,-0.0173116089613034,-0.0478615071283095,0.0091649694501018,2000
boruta_rf,regret_constrained_medoid,rfecv_only,macro_f1,-0.0160103903873821,-0.0451291195547395,0.0105729575825354,2000
boruta_rf,regret_constrained_medoid,highest_locking_score,macro_ovr_auroc,0.00286971297297,-0.0036613887174724,0.0097457605998463,2000
boruta_rf,regret_constrained_medoid,highest_locking_score,macro_auprc,0.0025698172641208,-0.0072285147524922,0.0129380103370749,2000
boruta_rf,regret_constrained_medoid,highest_locking_score,balanced_accuracy,0.0041589363017935,-0.0058914000032838,0.0146067330793941,2000
boruta_rf,regret_constrained_medoid,highest_locking_score,accuracy,0.005091649694501,-0.0061099796334012,0.0162932790224032,2000
boruta_rf,regret_constrained_medoid,highest_locking_score,macro_f1,0.0033565489189057,-0.0067998533627385,0.0137858949303415,2000
boruta_rf,regret_constrained_medoid,legacy_top3_medoid,macro_ovr_auroc,0.0010243893816491,-0.0052006933746712,0.0070933735786997,2000
boruta_rf,regret_constrained_medoid,legacy_top3_medoid,macro_auprc,-6.798694485166124e-06,-0.0110764699382249,0.0106142880607877,2000
boruta_rf,regret_constrained_medoid,legacy_top3_medoid,balanced_accuracy,-0.0016782416908839,-0.0142371224435067,0.0100632863764974,2000
boruta_rf,regret_constrained_medoid,legacy_top3_medoid,accuracy,-0.0020366598778003,-0.0153004073319756,0.0112016293279022,2000
boruta_rf,regret_constrained_medoid,legacy_top3_medoid,macro_f1,-0.0038270154886943,-0.0171786849221753,0.008844382528459,2000
boruta_rf,regret_constrained_medoid,unrestricted_medoid,macro_ovr_auroc,-0.0043032054851719,-0.0154362456446178,0.0080251921942218,2000
boruta_rf,regret_constrained_medoid,unrestricted_medoid,macro_auprc,-0.0029777968453192,-0.0213710090471208,0.0152030270230934,2000
boruta_rf,regret_constrained_medoid,unrestricted_medoid,balanced_accuracy,-0.0152009073943333,-0.0352400893985912,0.0042046993777397,2000
boruta_rf,regret_constrained_medoid,unrestricted_medoid,accuracy,-0.0173116089613034,-0.0397148676171079,0.0050916496945009,2000
boruta_rf,regret_constrained_medoid,unrestricted_medoid,macro_f1,-0.0158996656941154,-0.036990991643444,0.0038025132387085,2000
