outer_repeat,branch,method,metric,estimate,participants
1,xgboost,highest_locking_score,balanced_accuracy,0.6439261223395231,491
1,xgboost,highest_locking_score,accuracy,0.6211812627291242,491
1,xgboost,highest_locking_score,macro_f1,0.6290488578783863,491
2,xgboost,highest_locking_score,macro_ovr_auroc,0.8393891404684305,491
2,xgboost,highest_locking_score,macro_auprc,0.6799334458041781,491
2,xgboost,highest_locking_score,balanced_accuracy,0.6781606930785187,491
2,xgboost,highest_locking_score,accuracy,0.6578411405295316,491
2,xgboost,highest_locking_score,macro_f1,0.665117630598696,491
1,xgboost,legacy_top3_medoid,macro_ovr_auroc,0.8232520631005322,491
1,xgboost,legacy_top3_medoid,macro_auprc,0.6441160020953058,491
1,xgboost,legacy_top3_medoid,balanced_accuracy,0.6458123313685893,491
1,xgboost,legacy_top3_medoid,accuracy,0.6232179226069247,491
1,xgboost,legacy_top3_medoid,macro_f1,0.6303008750980935,491
2,xgboost,legacy_top3_medoid,macro_ovr_auroc,0.8241357211543552,491
2,xgboost,legacy_top3_medoid,macro_auprc,0.6542105854945494,491
2,xgboost,legacy_top3_medoid,balanced_accuracy,0.6558553751347683,491
2,xgboost,legacy_top3_medoid,accuracy,0.639511201629328,491
2,xgboost,legacy_top3_medoid,macro_f1,0.6474614153961981,491
1,xgboost,unrestricted_medoid,macro_ovr_auroc,0.8230280166014412,491
1,xgboost,unrestricted_medoid,macro_auprc,0.6440188898944992,491
1,xgboost,unrestricted_medoid,balanced_accuracy,0.6555246797029352,491
1,xgboost,unrestricted_medoid,accuracy,0.6334012219959266,491
1,xgboost,unrestricted_medoid,macro_f1,0.6429200622543536,491
2,xgboost,unrestricted_medoid,macro_ovr_auroc,0.8131112739347981,491
2,xgboost,unrestricted_medoid,macro_auprc,0.636621217202284,491
2,xgboost,unrestricted_medoid,balanced_accuracy,0.6298180012149671,491
2,xgboost,unrestricted_medoid,accuracy,0.6109979633401222,491
2,xgboost,unrestricted_medoid,macro_f1,0.6214533045776999,491
1,xgboost,regret_constrained_medoid,macro_ovr_auroc,0.8246232398214521,491
1,xgboost,regret_constrained_medoid,macro_auprc,0.6533973368438157,491
1,xgboost,regret_constrained_medoid,balanced_accuracy,0.6439261223395231,491
1,xgboost,regret_constrained_medoid,accuracy,0.6211812627291242,491
1,xgboost,regret_constrained_medoid,macro_f1,0.6290488578783863,491
2,xgboost,regret_constrained_medoid,macro_ovr_auroc,0.8294163301405331,491
2,xgboost,regret_constrained_medoid,macro_auprc,0.6607662585893141,491
2,xgboost,regret_constrained_medoid,balanced_accuracy,0.6604457068426728,491
2,xgboost,regret_constrained_medoid,accuracy,0.6456211812627292,491
2,xgboost,regret_constrained_medoid,macro_f1,0.6512736987054031,491
1,boruta_rf,direct,macro_ovr_auroc,0.8374435103809724,491
1,boruta_rf,direct,macro_auprc,0.6706991800720901,491
1,boruta_rf,direct,balanced_accuracy,0.6652125371467975,491
1,boruta_rf,direct,accuracy,0.6456211812627292,491
1,boruta_rf,direct,macro_f1,0.6498532933829176,491
2,boruta_rf,direct,macro_ovr_auroc,0.8491227472538514,491
2,boruta_rf,direct,macro_auprc,0.686291752533702,491
2,boruta_rf,direct,balanced_accuracy,0.6560567750833237,491
2,boruta_rf,direct,accuracy,0.6354378818737271,491
2,boruta_rf,direct,macro_f1,0.6401559750597257,491
1,boruta_rf,rfecv_only,macro_ovr_auroc,0.8280672465322149,491
1,boruta_rf,rfecv_only,macro_auprc,0.6587145050985017,491
1,boruta_rf,rfecv_only,balanced_accuracy,0.6758276279135951,491
1,boruta_rf,rfecv_only,accuracy,0.6537678207739308,491
1,boruta_rf,rfecv_only,macro_f1,0.6647232716198233,491
2,boruta_rf,rfecv_only,macro_ovr_auroc,0.8166261648434537,491
2,boruta_rf,rfecv_only,macro_auprc,0.6400986458776008,491
2,boruta_rf,rfecv_only,balanced_accuracy,0.6553795130280592,491
2,boruta_rf,rfecv_only,accuracy,0.6334012219959266,491
2,boruta_rf,rfecv_only,macro_f1,0.6420548574938616,491
1,boruta_rf,highest_locking_score,macro_ovr_auroc,0.8177148095016653,491
1,boruta_rf,highest_locking_score,macro_auprc,0.6421273484682806,491
1,boruta_rf,highest_locking_score,balanced_accuracy,0.6526953661593358,491
1,boruta_rf,highest_locking_score,accuracy,0.6272912423625254,491
1,boruta_rf,highest_locking_score,macro_f1,0.6404720717564367,491
2,boruta_rf,highest_locking_score,macro_ovr_auroc,0.8319558024779213,491
2,boruta_rf,highest_locking_score,macro_auprc,0.6740195255216878,491
2,boruta_rf,highest_locking_score,balanced_accuracy,0.6397472102276147,491
2,boruta_rf,highest_locking_score,accuracy,0.615071283095723,491
2,boruta_rf,highest_locking_score,macro_f1,0.6275721787446722,491
1,boruta_rf,legacy_top3_medoid,macro_ovr_auroc,0.8304344477671295,491
1,boruta_rf,legacy_top3_medoid,macro_auprc,0.6615635423312187,491
1,boruta_rf,legacy_top3_medoid,balanced_accuracy,0.6634869555223538,491
1,boruta_rf,legacy_top3_medoid,accuracy,0.6415478615071283,491
1,boruta_rf,legacy_top3_medoid,macro_f1,0.6526331969952148,491
2,boruta_rf,legacy_top3_medoid,macro_ovr_auroc,0.8229268113950987,491
2,boruta_rf,legacy_top3_medoid,macro_auprc,0.6597365635759616,491
2,boruta_rf,legacy_top3_medoid,balanced_accuracy,0.6406299768499516,491
