method,metric,estimate,ci_low,ci_high
svm_l1,auroc,0.6439716312056738,0.5281323877068558,0.750354609929078
svm_l1,auprc,0.6505392039152861,0.540165893216005,0.7681887164935153
svm_l1,balanced_accuracy,0.6182033096926713,0.5200945626477541,0.7153664302600473
xgboost,auroc,0.7059101654846336,0.5928841607565012,0.8085106382978723
xgboost,auprc,0.6891706691468241,0.5808840882024593,0.8187714704374373
xgboost,balanced_accuracy,0.6940898345153664,0.5983215130023641,0.7825059101654847
boruta_rf,auroc,0.6817966903073286,0.5663947990543735,0.783451536643026
boruta_rf,auprc,0.6786440581497797,0.5679976197031807,0.7906329406975469
boruta_rf,balanced_accuracy,0.6524822695035462,0.5548345153664302,0.7408983451536643
