rule,n_scenarios,oracle_regret,empirical_regret,full_bank_mean_jaccard,group_aware_recovery,exact_feature_recovery,score_optimism,oracle_regret_failure_probability
highest_score,162,0.00222261203704,0,0.423792678615,0.851442419753,0.74853808642,0.0142808436303,0.00145061728395
legacy_top3_medoid,162,0.0025370625,0.00731988530433,0.459779708026,0.846736888889,0.755435277778,0.00727540878888,0.000320987654321
full_bank_medoid,162,0.00233861342593,0.0137995447995,0.474539475804,0.850916722222,0.770714814815,0.000597300219621,0.000137654320988
regret_medoid,162,0.00259489722222,0.00130458463951,0.445894250448,0.845553021605,0.751387901235,0.0133485441759,0.00128086419753
