branch,current_method,comparator,metric,difference,ci_low,ci_high,bootstrap_resamples
svm_l1,regret_constrained_medoid,direct,macro_ovr_auroc,-0.013206691007903615,-0.024171476540950625,-0.0031421524554575927,2000
svm_l1,regret_constrained_medoid,direct,macro_auprc,-0.024347823496863485,-0.04239378633883485,-0.006371317430399557,2000
svm_l1,regret_constrained_medoid,direct,balanced_accuracy,-0.023157915619988922,-0.04288458223192739,-0.0045022363329886555,2000
svm_l1,regret_constrained_medoid,direct,accuracy,-0.02851323828920571,-0.04989816700610983,-0.007128309572301483,2000
svm_l1,regret_constrained_medoid,direct,macro_f1,-0.01930172042014866,-0.04008421422262583,0.0008912402319386917,2000
svm_l1,regret_constrained_medoid,rfecv_only,macro_ovr_auroc,-0.010775440801303438,-0.025857581047101997,0.003456298804572106,2000
svm_l1,regret_constrained_medoid,rfecv_only,macro_auprc,-0.014818228827669477,-0.03751186676214892,0.008618851081846905,2000
svm_l1,regret_constrained_medoid,rfecv_only,balanced_accuracy,-0.028309895961602716,-0.05143384586336536,-0.006030637214660567,2000
svm_l1,regret_constrained_medoid,rfecv_only,accuracy,-0.029531568228105876,-0.05397148676171082,-0.005091649694500933,2000
svm_l1,regret_constrained_medoid,rfecv_only,macro_f1,-0.031156836554197098,-0.05601029130271335,-0.0064945834318256975,2000
svm_l1,regret_constrained_medoid,elastic_net_native,macro_ovr_auroc,-0.01455868769718971,-0.02512076242976762,-0.004488001927726744,2000
svm_l1,regret_constrained_medoid,elastic_net_native,macro_auprc,-0.026047480706891557,-0.045119585406248455,-0.007417982977417369,2000
svm_l1,regret_constrained_medoid,elastic_net_native,balanced_accuracy,-0.013936890122098755,-0.034379964878147574,0.005324205003803529,2000
svm_l1,regret_constrained_medoid,elastic_net_native,accuracy,-0.01323828920570258,-0.03462321792260692,0.008146639511201537,2000
svm_l1,regret_constrained_medoid,elastic_net_native,macro_f1,-0.018860753454596257,-0.03970111574128373,0.0010614482318006822,2000
svm_l1,regret_constrained_medoid,elastic_net_matched,macro_ovr_auroc,0.017606929030235863,0.0008257872069423383,0.03409446853125147,2000
svm_l1,regret_constrained_medoid,elastic_net_matched,macro_auprc,0.020537077146409732,-0.00450010425050982,0.04481681868496144,2000
svm_l1,regret_constrained_medoid,elastic_net_matched,balanced_accuracy,0.024234146595082162,-0.0020632685898172216,0.05089267756579693,2000
svm_l1,regret_constrained_medoid,elastic_net_matched,accuracy,0.035641547861507084,0.006109979633401208,0.06418024439918527,2000
svm_l1,regret_constrained_medoid,elastic_net_matched,macro_f1,0.016369394602193887,-0.01199850576078918,0.044292719754326706,2000
svm_l1,regret_constrained_medoid,stability_native,macro_ovr_auroc,-0.013646680513935916,-0.02450964746204582,-0.002902398135230541,2000
svm_l1,regret_constrained_medoid,stability_native,macro_auprc,-0.026039445457118893,-0.04454944653460431,-0.0062383293794009325,2000
svm_l1,regret_constrained_medoid,stability_native,balanced_accuracy,-0.009697640117994122,-0.030308289345504967,0.011284639559766173,2000
svm_l1,regret_constrained_medoid,stability_native,accuracy,-0.009164969450101812,-0.031593686354378925,0.013238289205702691,2000
svm_l1,regret_constrained_medoid,stability_native,macro_f1,-0.01398408731272105,-0.03478475450801969,0.0072833782983068,2000
svm_l1,regret_constrained_medoid,stability_matched,macro_ovr_auroc,0.026131472840340342,0.008153846764549685,0.043366654091567626,2000
svm_l1,regret_constrained_medoid,stability_matched,macro_auprc,0.02327189269437735,-0.0034269030292966795,0.0487563719917877,2000
svm_l1,regret_constrained_medoid,stability_matched,balanced_accuracy,0.031729590468528523,0.003871452241395432,0.05861043612939947,2000
svm_l1,regret_constrained_medoid,stability_matched,accuracy,0.046843177189409335,0.015274949083503131,0.07637474541751532,2000
svm_l1,regret_constrained_medoid,stability_matched,macro_f1,0.02177501659445913,-0.007070682126098987,0.04989163621647526,2000
svm_l1,regret_constrained_medoid,random_bank_rep_01,macro_ovr_auroc,-0.0016188498572383692,-0.014962517769113125,0.012363189711549231,2000
svm_l1,regret_constrained_medoid,random_bank_rep_01,macro_auprc,-0.011202903069684078,-0.03220254082253551,0.010230529903034602,2000
svm_l1,regret_constrained_medoid,random_bank_rep_01,balanced_accuracy,-0.015298734135649417,-0.03869098413701749,0.008394688828870265,2000
svm_l1,regret_constrained_medoid,random_bank_rep_01,accuracy,-0.012219959266802416,-0.03869653767820769,0.013238289205702691,2000
svm_l1,regret_constrained_medoid,random_bank_rep_01,macro_f1,-0.020983060546447385,-0.04477552105204553,0.0034722844136497832,2000
svm_l1,regret_constrained_medoid,random_bank_rep_02,macro_ovr_auroc,-0.007635293824856726,-0.02047674446493887,0.005323603195472592,2000
svm_l1,regret_constrained_medoid,random_bank_rep_02,macro_auprc,-0.010096549192981197,-0.030228358414909923,0.011376789119976274,2000
svm_l1,regret_constrained_medoid,random_bank_rep_02,balanced_accuracy,-0.0025338494207014506,-0.024782701495723036,0.019705327726424405,2000
svm_l1,regret_constrained_medoid,random_bank_rep_02,accuracy,0.0,-0.024439918533604943,0.024439918533604943,2000
svm_l1,regret_constrained_medoid,random_bank_rep_02,macro_f1,-0.006728837161353973,-0.03071104111682028,0.016723570888134517,2000
svm_l1,regret_constrained_medoid,random_bank_rep_03,macro_ovr_auroc,0.0040323159096102845,-0.010455008889138782,0.017454508428344388,2000
svm_l1,regret_constrained_medoid,random_bank_rep_03,macro_auprc,0.0007814501080045666,-0.021135096638097685,0.022875329481014228,2000
