branch,method,metric,estimate,ci_low,ci_high,participants
svm_l1,direct,macro_ovr_auroc,0.8397084113296527,0.8191990947144429,0.8585583493354993,491
svm_l1,direct,macro_auprc,0.681341476133684,0.6552375833625899,0.7146073170284994,491
svm_l1,direct,balanced_accuracy,0.6724342029651764,0.6457393512513614,0.6999050225480375,491
svm_l1,direct,accuracy,0.6537678207739308,0.6211812627291242,0.6863543788187372,491
svm_l1,direct,macro_f1,0.6570002038466174,0.6269451340649047,0.6863342033630405,491
svm_l1,rfecv_only,macro_ovr_auroc,0.8372771611230525,0.8170817776785363,0.8573131230626323,491
svm_l1,rfecv_only,macro_auprc,0.67181188146449,0.6464589729391973,0.7083706045326618,491
svm_l1,rfecv_only,balanced_accuracy,0.6775861833067902,0.648197432834759,0.7057257375999475,491
svm_l1,rfecv_only,accuracy,0.654786150712831,0.6221995926680244,0.6873727087576375,491
svm_l1,rfecv_only,macro_f1,0.6688553199806658,0.6374781112857492,0.6988706525598715,491
svm_l1,regret_constrained_medoid,macro_ovr_auroc,0.8265017203217491,0.8067779533949337,0.8449738815937806,491
svm_l1,regret_constrained_medoid,macro_auprc,0.6569936526368205,0.6341955310534737,0.687669400551908,491
svm_l1,regret_constrained_medoid,balanced_accuracy,0.6492762873451875,0.6226327775679861,0.6760803988731454,491
svm_l1,regret_constrained_medoid,accuracy,0.6252545824847251,0.5936863543788187,0.6568482688391037,491
svm_l1,regret_constrained_medoid,macro_f1,0.6376984834264687,0.6100903235554118,0.6652409857492053,491
svm_l1,elastic_net_native,macro_ovr_auroc,0.8410604080189388,0.8207467150041954,0.8606900976989388,491
svm_l1,elastic_net_native,macro_auprc,0.6830411333437121,0.6566457440451496,0.7176738309646398,491
svm_l1,elastic_net_native,balanced_accuracy,0.6632131774672863,0.6340795564001949,0.6926561567909545,491
svm_l1,elastic_net_native,accuracy,0.6384928716904277,0.6048879837067209,0.6731160896130346,491
svm_l1,elastic_net_native,macro_f1,0.656559236881065,0.6265355761498422,0.6859254458950593,491
svm_l1,elastic_net_matched,macro_ovr_auroc,0.8088947912915132,0.7892943278444636,0.8273460804771612,491
svm_l1,elastic_net_matched,macro_auprc,0.6364565754904108,0.6140011507747817,0.6670702394732567,491
svm_l1,elastic_net_matched,balanced_accuracy,0.6250421407501053,0.5983470051335096,0.6514635701424576,491
svm_l1,elastic_net_matched,accuracy,0.589613034623218,0.5580448065173116,0.620162932790224,491
svm_l1,elastic_net_matched,macro_f1,0.6213290888242748,0.5946844206114591,0.6482327263100642,491
svm_l1,stability_native,macro_ovr_auroc,0.840148400835685,0.8198376685626184,0.8591364972232447,491
svm_l1,stability_native,macro_auprc,0.6830330980939394,0.6568389440318755,0.7163518638876427,491
svm_l1,stability_native,balanced_accuracy,0.6589739274631816,0.6310290381236967,0.6873346591251142,491
svm_l1,stability_native,accuracy,0.6344195519348269,0.6018329938900204,0.6680244399185336,491
svm_l1,stability_native,macro_f1,0.6516825707391898,0.622761521885816,0.6798141715579289,491
svm_l1,stability_matched,macro_ovr_auroc,0.8003702474814087,0.7803481374525971,0.8199802769952754,491
svm_l1,stability_matched,macro_auprc,0.6337217599424432,0.6113791110536193,0.6643914310527942,491
svm_l1,stability_matched,balanced_accuracy,0.617546696876659,0.5915845571937545,0.6437899618817761,491
svm_l1,stability_matched,accuracy,0.5784114052953158,0.5468431771894093,0.6089613034623218,491
svm_l1,stability_matched,macro_f1,0.6159234668320096,0.5897679593779851,0.6419214214714419,491
svm_l1,random_bank_rep_01,macro_ovr_auroc,0.8281205701789874,0.8072843578572595,0.8474059655842621,491
svm_l1,random_bank_rep_01,macro_auprc,0.6681965557065046,0.6420795423750472,0.7024875040555901,491
svm_l1,random_bank_rep_01,balanced_accuracy,0.6645750214808369,0.6369052972154268,0.6914888015745316,491
svm_l1,random_bank_rep_01,accuracy,0.6374745417515275,0.6048879837067209,0.6690427698574338,491
svm_l1,random_bank_rep_01,macro_f1,0.6586815439729161,0.6292104281044619,0.6862728982372026,491
svm_l1,random_bank_rep_02,macro_ovr_auroc,0.8341370141466058,0.8144797317797536,0.8524898077037188,491
svm_l1,random_bank_rep_02,macro_auprc,0.6670902018298017,0.643082643317164,0.6985784625665926,491
svm_l1,random_bank_rep_02,balanced_accuracy,0.651810136765889,0.6243671157119325,0.6782965867360621,491
svm_l1,random_bank_rep_02,accuracy,0.6252545824847251,0.5926680244399185,0.6558044806517311,491
svm_l1,random_bank_rep_02,macro_f1,0.6444273205878227,0.6165549528833113,0.6713908980110658,491
svm_l1,random_bank_rep_03,macro_ovr_auroc,0.8224694044121388,0.803496166582676,0.8425444161674321,491
svm_l1,random_bank_rep_03,macro_auprc,0.656212202528816,0.633803889086859,0.6878203083163831,491
