center,branch,cap,run_id,seed,rfecv_target,run_best_feature_count,run_best_absolute_target_deviation,base_development_cv_balanced_accuracy,raw_untruncated_objective,diagnostic_legacy_truncated_run_best_fitness,diagnostic_zero_legacy_run_best,diagnostic_all_zero_legacy_fitness_generations,actual_uniform_sampling_fallback_generations,mean_population_unique_masks,minimum_population_unique_masks,final_population_unique_masks,stable_feature_set_identifier,runtime_seconds,history_generations,python_version,numpy_version,pandas_version,scikit_learn_version,backend,objective_mode,held_out_inputs_used
emory,svm_l1,reference,2,43,19,19,0,0.6930085058349168,0.6930085058349168,0.6930085058349168,False,0,0,49.74,48,50,e5f6f71aed3ca8fac8f111d68ee00691bf7a4175a09a372f848089973ac90044,1580.6142082100014,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
emory,svm_l1,reference,3,44,19,19,0,0.7056647004783574,0.7056647004783574,0.7056647004783574,False,0,0,49.94,49,50,4b5a6e7008c92282cc2f0e914636b6af318cc5be64faf5a913e4d098e1f05295,1540.0319117900003,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
emory,svm_l1,reference,4,45,19,19,0,0.6998153822794594,0.6998153822794594,0.6998153822794594,False,0,0,49.82,49,50,121e9797ce94f3403788f4d5e7ed030eebe099cbab4c1b4da96b444e2031f4b7,1548.7473894120003,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
emory,svm_l1,reference,5,46,19,19,0,0.7005219984571096,0.7005219984571096,0.7005219984571096,False,0,0,49.94,49,49,bce7bc6e75587301038b728ebaa2caab341c90d564a624e4059bd387c26e896b,1539.6813692659998,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
emory,xgboost,low,1,42,9,20,11,0.5993048021312132,0.4343048021312132,0.4343048021312132,False,5,0,50.0,50,50,6d34f8c0e5709895a45a37eb95dd0b5336d3998209b33cd1efc6aefa096a9661,1600.8282159810005,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
emory,xgboost,low,2,43,9,16,7,0.5958046111870287,0.49080461118702867,0.49080461118702867,False,6,0,49.98,49,50,1a04ae2cd74f029696f5a13683e03cefd7a51d3eca474b9cf02e869886a6a278,1605.1404357820002,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
emory,xgboost,low,3,44,9,21,12,0.6309630181757392,0.4509630181757392,0.4509630181757392,False,6,0,50.0,50,50,960c2670becfd73efcec724e266c1823026b5aa284345e7c9c8e4c3c498725fa,1607.6463497440018,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
emory,xgboost,low,4,45,9,20,11,0.6125752925893718,0.44757529258937184,0.44757529258937184,False,6,0,50.0,50,50,3cf159b7d4677755fa2b19188f33d47820969448076b686d69b83b219622af7f,1601.585319576001,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
emory,xgboost,low,5,46,9,22,13,0.6157649960200791,0.42076499602007905,0.42076499602007905,False,6,0,50.0,50,50,ac134c488332f7db7dfc5b0fbe6a6275f7e3d19f0141ad57be1e3c244a0e414d,1573.4844659789997,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
emory,xgboost,reference,1,42,17,20,3,0.5993048021312132,0.5543048021312131,0.5543048021312131,False,2,0,50.0,50,50,6d34f8c0e5709895a45a37eb95dd0b5336d3998209b33cd1efc6aefa096a9661,1642.747618573,50,3.12.13,2.0.2,2.2.2,1.6.1,gpu,untruncated_shifted_linear,False
