method,method_label,variant,n_features,estimate,ci_low,ci_high,n_bootstrap,feature_reduction
svm_l1,SVM-L1,direct,35,0.6345153664302601,0.5148817966903073,0.7413829787234043,2000,0.5428571428571429
svm_l1,SVM-L1,locked_medoid,16,0.6515366430260048,0.5347399527186761,0.7607801418439715,2000,0.5428571428571429
xgboost,XGBoost,direct,70,0.6836879432624113,0.5654728132387707,0.7853427895981088,2000,0.7285714285714286
xgboost,XGBoost,locked_medoid,19,0.7021276595744681,0.5867494089834516,0.8028486997635934,2000,0.7285714285714286
boruta_rf,Boruta-RF,direct,26,0.6576832151300236,0.5380496453900709,0.7650118203309693,2000,0.6538461538461539
boruta_rf,Boruta-RF,locked_medoid,9,0.6950354609929078,0.5824940898345153,0.7929078014184396,2000,0.6538461538461539
