view,branch,stage,feature_count,auroc,auprc,balanced_accuracy,auroc_ci_low,auroc_ci_high,auprc_ci_low,auprc_ci_high,held_out_n
full_1781,svm_l1,Direct,214,0.49768518518518523,0.4013275932985087,0.48611111111111116,0.35416666666666663,0.6435474537037036,0.33589605899475733,0.5614672801085856,60
full_1781,svm_l1,RFECV,8,0.6331018518518519,0.5178968670245636,0.6041666666666667,0.48260995370370363,0.7731481481481481,0.40927773021837993,0.6709398646120934,60
full_1781,svm_l1,Locked,50,0.5671296296296297,0.44289381995106825,0.513888888888889,0.4201099537037037,0.7094907407407407,0.366070790946905,0.616261841896972,60
full_1781,xgboost,Direct,100,0.5231481481481481,0.4600130952948018,0.5277777777777778,0.37962962962962965,0.6689814814814815,0.35400440529956567,0.6094819556679985,60
full_1781,xgboost,RFECV,16,0.625,0.5063432338086049,0.5625,0.4780092592592593,0.7604456018518516,0.40025969057085475,0.6678856798807108,60
full_1781,xgboost,Locked,24,0.5648148148148149,0.4777435990129702,0.5763888888888888,0.41432291666666665,0.7152777777777777,0.3750877038426225,0.643309275750316,60
full_1781,boruta_rf,Direct,10,0.5659722222222222,0.4719833011086345,0.5208333333333333,0.4235821759259259,0.7141203703703703,0.3743741607547888,0.6369337311317619,60
full_1781,boruta_rf,RFECV,10,0.5659722222222222,0.4719833011086345,0.5208333333333333,0.42592592592592593,0.7118055555555556,0.3756012544836004,0.6370564292297146,60
full_1781,boruta_rf,Locked,9,0.5648148148148149,0.4753551399945933,0.5069444444444444,0.4073784722222222,0.7083622685185184,0.37820957135681155,0.6389249845450798,60
stable_1346,svm_l1,Direct,201,0.4988425925925926,0.4404017459182683,0.4236111111111111,0.3425636574074074,0.6469907407407407,0.3503326077737824,0.6272258515775407,60
stable_1346,svm_l1,RFECV,3,0.5162037037037037,0.46432249744122933,0.5208333333333334,0.36912615740740734,0.6667245370370368,0.3597282414033152,0.6399874359406679,60
stable_1346,svm_l1,Locked,50,0.5046296296296297,0.42016244260378766,0.4930555555555556,0.3448784722222222,0.6516493055555554,0.34209978331739416,0.5965054296515058,60
stable_1346,xgboost,Direct,100,0.4375,0.3954503161974367,0.4305555555555556,0.2939236111111111,0.5903356481481479,0.31687565741767565,0.5407864011230029,60
stable_1346,xgboost,RFECV,6,0.4988425925925926,0.45501516304926676,0.5208333333333334,0.3506944444444444,0.650491898148148,0.3484615605175516,0.6159670771981507,60
stable_1346,xgboost,Locked,19,0.4305555555555556,0.3774161716096352,0.47916666666666663,0.2789351851851852,0.5902777777777779,0.317018815818678,0.5310602322222489,60
stable_1346,boruta_rf,Direct,6,0.5648148148148149,0.5135576417334939,0.5625,0.40972222222222227,0.7199074074074074,0.392000832548331,0.69644368202122,60
stable_1346,boruta_rf,RFECV,6,0.5648148148148149,0.5135576417334939,0.5625,0.41779513888888886,0.7141203703703703,0.3959287409588528,0.7086754481096968,60
stable_1346,boruta_rf,Locked,5,0.5648148148148148,0.5100229414736324,0.5833333333333334,0.4131944444444445,0.7152777777777778,0.39449482073479125,0.675692986159985,60
