view,branch,direct_feature_count,rfecv_target_k,locked_feature_count,compression_vs_direct,eligible_pool_size,selected_absolute_regret,mean_pairwise_jaccard_all_five,nogueira_stability_all_five,duplicate_masks_present,cross_view_locked_jaccard,locked_minus_direct_auroc,locked_minus_direct_ci_low,locked_minus_direct_ci_high
full_1781,svm_l1,214,8,50,0.7663551401869159,1,0.0,0.1531426811215236,-0.0045088839731697,False,0.05263157894736842,0.0694444444444444,-0.0208622685185185,0.1655381944444442
full_1781,xgboost,100,16,24,0.76,1,0.0,0.1534542630587255,0.0707001540681322,False,0.04878048780487805,0.0416666666666667,-0.0497685185185183,0.1365740740740741
full_1781,boruta_rf,10,10,9,0.09999999999999998,2,0.0,0.9200000000000002,-0.0416666666666658,True,0.2727272727272727,-0.0011574074074073,-0.0532407407407407,0.0555555555555555
stable_1346,svm_l1,201,3,50,0.7512437810945274,1,0.0,0.144491106554907,0.0016591459097295,False,0.05263157894736842,0.005787037037037,-0.0636574074074074,0.0775462962962962
stable_1346,xgboost,100,6,19,0.81,1,0.0,0.1334998468635989,0.0470952393133968,False,0.04878048780487805,-0.0069444444444444,-0.1261863425925926,0.1122685185185184
stable_1346,boruta_rf,6,6,5,0.16666666666666663,1,0.0,0.7666666666666666,-0.0096153846153845,True,0.2727272727272727,-1.1102230246251563e-16,-0.0624999999999998,0.0601851851851851
