method,method_label,variant,n_features,metric,estimate,ci_low,ci_high,n_bootstrap,direct_n_features,wrapevofs_n_features,feature_reduction,performance_retention
svm_l1,SVM-L1,direct,35,roc_auc,0.6345153664302601,0.5148817966903073,0.7413829787234043,2000,35,16,0.5428571428571429,1.0268256333830104
svm_l1,SVM-L1,full_medoid,16,roc_auc,0.6515366430260048,0.5347399527186761,0.7607801418439715,2000,35,16,0.5428571428571429,1.0268256333830104
xgboost,XGBoost,direct,70,roc_auc,0.6836879432624113,0.5654728132387707,0.7853427895981088,2000,70,19,0.7285714285714286,1.0269709543568466
xgboost,XGBoost,full_medoid,19,roc_auc,0.7021276595744681,0.5867494089834516,0.8028486997635934,2000,70,19,0.7285714285714286,1.0269709543568466
boruta_rf,Boruta-RF,direct,26,roc_auc,0.6576832151300236,0.5380496453900709,0.7650118203309693,2000,26,9,0.6538461538461539,1.0567936736161037
boruta_rf,Boruta-RF,full_medoid,9,roc_auc,0.6950354609929078,0.5824940898345153,0.7929078014184396,2000,26,9,0.6538461538461539,1.0567936736161037
