dataset,branch,center,cap,condition,selection_rule,selected_run,selected_feature_count,direct_feature_count,compression_ratio,development_locking_metric,best_saved_run_score,selected_development_score,development_cv_regret,mean_pairwise_jaccard,selected_medoid_mean_jaccard,nogueira_seed_agreement,heldout_metric,heldout_estimate,heldout_direct_estimate,heldout_delta,heldout_source,selection_used_heldout,status,note
CGGA,xgboost,CGGA fixed development/held-out split,not_applicable,no_penalty,highest_development_cv_run,3.0,35.0,70,0.5,ROC AUROC,0.8678571428571429,0.8678571428571429,0.0,0.369310595065312,0.3606821480406386,-0.0184972865550716,,,,,,False,complete,
CGGA,xgboost,CGGA fixed development/held-out split,not_applicable,no_penalty,legacy_top_three_medoid,3.0,35.0,70,0.5,ROC AUROC,0.8678571428571429,0.8678571428571429,0.0,0.369310595065312,0.3606821480406386,-0.0184972865550716,ROC AUROC,0.6453900709219857,0.6836879432624113,-0.0382978723404255,archived Table_S19 variant=no_penalty_medoid; joined after locking,False,complete,
CGGA,xgboost,CGGA fixed development/held-out split,not_applicable,no_penalty,all_run_medoid,5.0,39.0,70,0.4428571428571428,ROC AUROC,0.8678571428571429,0.8431385281385282,0.0247186147186146,0.369310595065312,0.4115566037735849,-0.0184972865550716,,,,,,False,complete,
CGGA,xgboost,CGGA fixed development/held-out split,not_applicable,no_penalty,regret_constrained_medoid_abs_0.01,3.0,35.0,70,0.5,ROC AUROC,0.8678571428571429,0.8678571428571429,0.0,0.369310595065312,0.3606821480406386,-0.0184972865550716,,,,,,False,complete,
CGGA,xgboost,CGGA fixed development/held-out split,not_applicable,penalty,highest_development_cv_run,2.0,20.0,70,0.7142857142857143,ROC AUROC,0.8487445887445887,0.8487445887445887,0.0,0.2175382741072968,0.2238413547237076,-0.0359090909090908,ROC AUROC,0.7163120567375886,0.6836879432624113,0.0326241134751772,archived Table_S19 variant=best_cv; joined after locking,False,complete,
CGGA,xgboost,CGGA fixed development/held-out split,not_applicable,penalty,legacy_top_three_medoid,1.0,19.0,70,0.7285714285714286,ROC AUROC,0.8487445887445887,0.8455627705627705,0.0031818181818181,0.2175382741072968,0.2390328510436432,-0.0359090909090908,ROC AUROC,0.7021276595744681,0.6836879432624113,0.0184397163120567,archived Table_S19 variant=single_run; joined after locking,False,complete,
CGGA,xgboost,CGGA fixed development/held-out split,not_applicable,penalty,all_run_medoid,1.0,19.0,70,0.7285714285714286,ROC AUROC,0.8487445887445887,0.8455627705627705,0.0031818181818181,0.2175382741072968,0.2390328510436432,-0.0359090909090908,ROC AUROC,0.7021276595744681,0.6836879432624113,0.0184397163120567,archived Table_S19 variant=single_run; joined after locking,False,complete,
CGGA,xgboost,CGGA fixed development/held-out split,not_applicable,penalty,regret_constrained_medoid_abs_0.01,5.0,21.0,70,0.7,ROC AUROC,0.8487445887445887,0.8474458874458876,0.0012987012987011,0.2175382741072968,0.2361278822379391,-0.0359090909090908,,,,,,False,complete,
AMP-AD,boruta_rf,emory,high,legacy_zero_truncated,highest_development_cv_run,4.0,49.0,68,0.2794117647058823,macro OvR AUROC,0.8675020172112156,0.8675020172112156,0.0,0.587718335862909,0.5708817167577414,0.0013820053373999,,,,,,False,complete,
AMP-AD,boruta_rf,emory,high,legacy_zero_truncated,legacy_top_three_medoid,5.0,48.0,68,0.2941176470588235,macro OvR AUROC,0.8675020172112156,0.8584349758935712,0.0090670413176443,0.587718335862909,0.6102655830323238,0.0013820053373999,macro OvR AUROC,0.8373990782968349,0.795372060616021,0.0420270176808139,archived budget_summary.json variant=locked_medoid; joined after locking,False,complete,
