dataset,branch,center,cap,condition,selection_rule,selected_run,selected_feature_count,direct_feature_count,compression_ratio,development_locking_metric,best_saved_run_score,selected_development_score,development_cv_regret,mean_pairwise_jaccard,selected_medoid_mean_jaccard,nogueira_seed_agreement,heldout_metric,heldout_estimate,heldout_direct_estimate,heldout_delta,heldout_source,selection_used_heldout,status,note
CGGA,boruta_rf,CGGA fixed development/held-out split,not_applicable,penalty,regret_constrained_medoid_abs_0.01,5.0,9.0,26,0.6538461538461539,ROC AUROC,0.8146753246753248,0.8146753246753248,0.0,0.3946253746253746,0.3887362637362637,0.1919191919191918,ROC AUROC,0.6950354609929078,0.6576832151300236,0.0373522458628842,archived Table_S19 variant=best_cv; joined after locking,False,complete,
AMP-AD,svm_l1,emory,low,legacy_zero_truncated,regret_constrained_medoid_abs_0.01,2.0,12.0,52,0.7692307692307692,macro OvR AUROC,0.8632976375438399,0.8632976375438399,0.0,0.1454123946229209,0.2047305764411027,-0.1220058831769155,macro OvR AUROC,0.7836571089609269,0.7915665923689003,-0.0079094834079733,archived budget_summary.json variant=locked_medoid; joined after locking,False,complete,
AMP-AD,svm_l1,mayo,high,legacy_zero_truncated,regret_constrained_medoid_abs_0.01,3.0,37.0,120,0.6916666666666667,macro OvR AUROC,0.8890474423133169,0.8876237127978086,0.0014237295155082,0.2094289461593591,0.2333400591875168,-0.0444490103417576,macro OvR AUROC,0.8434617642363688,0.8454536724310749,-0.0019919081947061,archived budget_summary.json variant=locked_medoid; joined after locking,False,complete,
AMP-AD,svm_l1,mayo,low,legacy_zero_truncated,regret_constrained_medoid_abs_0.01,5.0,26.0,120,0.7833333333333333,macro OvR AUROC,0.8803417953413748,0.8803417953413748,0.0,0.1221903036576949,0.1256146480331262,-0.1241619526503245,macro OvR AUROC,0.8261542019683757,0.8454536724310749,-0.0192994704626991,archived budget_summary.json variant=locked_medoid; joined after locking,False,complete,
AMP-AD,svm_l1,rush,high,legacy_zero_truncated,regret_constrained_medoid_abs_0.01,5.0,36.0,120,0.7,macro OvR AUROC,0.8750914704854796,0.8705335872335359,0.0045578832519437,0.2055566204341083,0.2179784563172309,-0.0695200250557883,macro OvR AUROC,0.7671780556002021,0.7883429044008219,-0.0211648488006197,archived budget_summary.json variant=locked_medoid; joined after locking,False,complete,
AMP-AD,svm_l1,rush,reference,legacy_zero_truncated,regret_constrained_medoid_abs_0.01,3.0,30.0,120,0.75,macro OvR AUROC,0.8826732633157365,0.8826732633157365,0.0,0.1346424147338581,0.1665119075453421,-0.1219431200929814,macro OvR AUROC,0.7616079706592239,0.7883429044008219,-0.0267349337415979,archived budget_summary.json variant=locked_medoid; joined after locking,False,complete,
AMP-AD,xgboost,emory,high,legacy_zero_truncated,regret_constrained_medoid_abs_0.01,4.0,31.0,100,0.69,macro OvR AUROC,0.825676020187642,0.825676020187642,0.0,0.2083938002551447,0.2473201203558346,-0.0580645161290327,macro OvR AUROC,0.8061513517400057,0.8747627384718628,-0.068611386731857,archived budget_summary.json variant=locked_medoid; joined after locking,False,complete,
AMP-AD,xgboost,emory,low,legacy_zero_truncated,regret_constrained_medoid_abs_0.01,5.0,22.0,100,0.78,macro OvR AUROC,0.8193700973799736,0.8193700973799736,0.0,0.1293435750788691,0.1413479494361847,-0.096185309566865,macro OvR AUROC,0.8457919354396921,0.8747627384718628,-0.0289708030321707,archived budget_summary.json variant=locked_medoid; joined after locking,False,complete,
AMP-AD,xgboost,emory,reference,legacy_zero_truncated,regret_constrained_medoid_abs_0.01,1.0,20.0,100,0.8,macro OvR AUROC,0.8206914964893934,0.8206914964893934,0.0,0.1408580943014228,0.1338593386656514,-0.0946345321345323,macro OvR AUROC,0.7781081648794116,0.8747627384718628,-0.0966545735924512,archived budget_summary.json variant=locked_medoid; joined after locking,False,complete,
AMP-AD,xgboost,mayo,low,legacy_zero_truncated,regret_constrained_medoid_abs_0.01,2.0,22.0,100,0.78,macro OvR AUROC,0.8620790509019063,0.8620790509019063,0.0,0.1337031360470378,0.1306559342743553,-0.1045509071824859,macro OvR AUROC,0.7960519940700598,0.8167809800352285,-0.0207289859651687,archived budget_summary.json variant=locked_medoid; joined after locking,False,complete,
AMP-AD,xgboost,mount_sinai,high,legacy_zero_truncated,regret_constrained_medoid_abs_0.01,4.0,34.0,100,0.6599999999999999,macro OvR AUROC,0.8706924967595201,0.8666303130806611,0.004062183678859,0.2189102019714022,0.2503425055149193,-0.0496732026143791,macro OvR AUROC,0.6352781976328488,0.6825470611807821,-0.0472688635479333,archived budget_summary.json variant=locked_medoid; joined after locking,False,complete,
