dataset,regret_tolerance,pool_size,selected_regret,mean_jaccard,changed_from_best
AMP-AD,0.0,1.0,0.0,1.0,0.0
AMP-AD,0.005,1.8611111111111112,0.00031740324680341945,0.586048220684432,0.1388888888888889
AMP-AD,0.01,2.638888888888889,0.001006431374812703,0.38944193273163125,0.25
AMP-AD,0.02,4.194444444444445,0.0051660482283038284,0.27965217130502606,0.5555555555555556
CGGA,0.0,1.0,0.0,1.0,0.0
CGGA,0.005,2.0,0.0010497835497835166,0.6193278585214069,0.3333333333333333
CGGA,0.01,2.5,0.0013275613275612501,0.5324513156391714,0.5
CGGA,0.02,3.8333333333333335,0.0038059163059162332,0.4466372794633573,0.6666666666666666
