dataset,regret_tolerance,pool_size,selected_regret,mean_jaccard,non_singleton_jaccard_n,conditions
AMP-AD,0.0,1.0,0.0,,0,36
AMP-AD,0.005,1.8611111111111112,0.00031740324680341945,0.2903683783161691,21,36
AMP-AD,0.01,2.638888888888889,0.001006431374812703,0.2909648251077008,31,36
AMP-AD,0.02,4.194444444444445,0.0051660482283038284,0.27965217130502606,36,36
CGGA,0.0,1.0,0.0,,0,6
CGGA,0.005,2.0,0.0010497835497835166,0.42899178778211033,4,6
CGGA,0.01,2.5,0.0013275613275612501,0.4389415787670057,5,6
CGGA,0.02,3.8333333333333335,0.0038059163059162332,0.4466372794633573,6,6
