outer_repeat,outer_fold,branch,method,features,feature_count
1,1,xgboost,unrestricted_medoid,"[""RNA::ACSM5"", ""RNA::ANKRD12"", ""RNA::ATP8B5P"", ""RNA::C15orf21"", ""RNA::C17orf103"", ""RNA::CDK11B"", ""RNA::CXorf26"", ""RNA::CYTSB"", ""RNA::FBXO21"", ""RNA::FMOD"", ""RNA::GTPBP5"", ""RNA::LCN12"", ""RNA::LRRTM4"", ""RNA::MTHFR"", ""RNA::OPA3"", ""RNA::PYGO2"", ""RNA::SHF"", ""RNA::SLC10A3"", ""RNA::THBS3"", ""SCNV::RN7SL420P""]",20
1,1,xgboost,regret_constrained_medoid,"[""RNA::ANKRD12"", ""RNA::ATXN7"", ""RNA::C14orf70"", ""RNA::C1orf116"", ""RNA::CAMK2G"", ""RNA::CP"", ""RNA::EEF1A1P9"", ""RNA::GCSH"", ""RNA::GPR182"", ""RNA::HNRNPA3P1"", ""RNA::KDELR1"", ""RNA::OPA3"", ""RNA::PLSCR1"", ""RNA::PMPCA"", ""RNA::SCARF2"", ""RNA::SHF"", ""RNA::SRP68"", ""RNA::TMOD2"", ""RNA::UPF3B"", ""SCNV::RN7SL420P""]",20
1,1,boruta_rf,direct,"[""RNA::AARS"", ""RNA::ACBD5"", ""RNA::ACTL6A"", ""RNA::ACTR3"", ""RNA::AKAP6"", ""RNA::ANXA2P1"", ""RNA::ASAP3"", ""RNA::ATP5EP2"", ""RNA::ATP6V1C2"", ""RNA::ATP8B5P"", ""RNA::BRD7"", ""RNA::BZW1"", ""RNA::C15orf21"", ""RNA::C1orf116"", ""RNA::C1orf144"", ""RNA::CAPZA1"", ""RNA::CASP6"", ""RNA::CCDC109B"", ""RNA::CDC26"", ""RNA::CENPL"", ""RNA::CKLF"", ""RNA::CLIC1"", ""RNA::CNIH4"", ""RNA::COMMD10"", ""RNA::CPEB3"", ""RNA::CTCFL"", ""RNA::DCUN1D5"", ""RNA::DDOST"", ""RNA::DNALI1"", ""RNA::DOCK7"", ""RNA::DST"", ""RNA::DTYMK"", ""RNA::DYNC1H1"", ""RNA::EDARADD"", ""RNA::EEF1A1P9"", ""RNA::FAM71D"", ""RNA::FAM90A7"", ""RNA::FTHL3"", ""RNA::GBAP1"", ""RNA::GCSH"", ""RNA::GGTLC1"", ""RNA::GPN1"", ""RNA::GPR179"", ""RNA::GPX7"", ""RNA::GUSBL1"", ""RNA::H3F3C"", ""RNA::HDAC1"", ""RNA::HIPK2"", ""RNA::HMGN5"", ""RNA::HNRNPA3P1"", ""RNA::KDELR1"", ""RNA::KIAA0427"", ""RNA::KIAA1409"", ""RNA::LDHA"", ""RNA::LOC100130776"", ""RNA::LOC284232"", ""RNA::LOC341056"", ""RNA::LOC407835"", ""RNA::LOC442454"", ""RNA::LOC541471"", ""RNA::LOC643387"", ""RNA::LOC644936"", ""RNA::LOC728643"", ""RNA::LRRC37A4"", ""RNA::LRRC42"", ""RNA::LRRTM4"", ""RNA::LSM14A"", ""RNA::LYPLA1"", ""RNA::MFSD2B"", ""RNA::MLLT6"", ""RNA::MMP11"", ""RNA::MPRIP"", ""RNA::MTMR12"", ""RNA::NACA2"", ""RNA::NACAP1"", ""RNA::NADK"", ""RNA::NALCN"", ""RNA::NCRNA00152"", ""RNA::NEK10"", ""RNA::NET1"", ""RNA::NFIA"", ""RNA::NOX4"", ""RNA::NUP37"", ""RNA::OSTC"", ""RNA::PA2G4P4"", ""RNA::PCNA"", ""RNA::PIGC"", ""RNA::PMS2L2"", ""RNA::PPIA"", ""RNA::PPIAL4C"", ""RNA::PRDX4"", ""RNA::PVT1"", ""RNA::RAB6C"", ""RNA::RAN"", ""RNA::RAP1B"", ""RNA::RGPD4"", ""RNA::RPF1"", ""RNA::RPL12"", ""RNA::RPL13A"", ""RNA::RPL13AP3""]",100
1,1,boruta_rf,rfecv_only,"[""RNA::C1orf144"", ""RNA::HDAC1"", ""RNA::LOC442454"", ""RNA::LOC643387"", ""RNA::LOC728643"", ""RNA::NACAP1"", ""RNA::NFIA"", ""RNA::RPL13AP3""]",8
1,1,boruta_rf,highest_locking_score,"[""RNA::ACBD5"", ""RNA::AKAP6"", ""RNA::DST"", ""RNA::GPX7"", ""RNA::H3F3C"", ""RNA::HIPK2"", ""RNA::LDHA"", ""RNA::LOC100130776"", ""RNA::LOC284232"", ""RNA::LOC541471"", ""RNA::LRRTM4"", ""RNA::LSM14A"", ""RNA::MLLT6"", ""RNA::MTMR12"", ""RNA::NEK10"", ""RNA::OSTC"", ""RNA::RGPD4"", ""RNA::RPL13A""]",18
1,1,boruta_rf,legacy_top3_medoid,"[""RNA::ACTR3"", ""RNA::ATP8B5P"", ""RNA::C15orf21"", ""RNA::C1orf116"", ""RNA::CLIC1"", ""RNA::DNALI1"", ""RNA::DST"", ""RNA::DYNC1H1"", ""RNA::EDARADD"", ""RNA::EEF1A1P9"", ""RNA::LSM14A"", ""RNA::LYPLA1"", ""RNA::MTMR12"", ""RNA::NCRNA00152"", ""RNA::RAB6C""]",15
1,1,boruta_rf,unrestricted_medoid,"[""RNA::AKAP6"", ""RNA::ASAP3"", ""RNA::BRD7"", ""RNA::CAPZA1"", ""RNA::CLIC1"", ""RNA::EEF1A1P9"", ""RNA::GPN1"", ""RNA::H3F3C"", ""RNA::KDELR1"", ""RNA::LOC728643"", ""RNA::MFSD2B"", ""RNA::MLLT6"", ""RNA::NCRNA00152"", ""RNA::OSTC"", ""RNA::PIGC"", ""RNA::RGPD4"", ""RNA::RPL12"", ""RNA::RPL13AP3""]",18
1,1,boruta_rf,regret_constrained_medoid,"[""RNA::ACBD5"", ""RNA::AKAP6"", ""RNA::DST"", ""RNA::GPX7"", ""RNA::H3F3C"", ""RNA::HIPK2"", ""RNA::LDHA"", ""RNA::LOC100130776"", ""RNA::LOC284232"", ""RNA::LOC541471"", ""RNA::LRRTM4"", ""RNA::LSM14A"", ""RNA::MLLT6"", ""RNA::MTMR12"", ""RNA::NEK10"", ""RNA::OSTC"", ""RNA::RGPD4"", ""RNA::RPL13A""]",18
1,2,svm_l1,direct,"[""RNA::ABCG1"", ""RNA::ACADM"", ""RNA::AK2"", ""RNA::ANAPC5"", ""RNA::ASAP3"", ""RNA::ATP5EP2"", ""RNA::ATP8B5P"", ""RNA::C14orf143"", ""RNA::C3orf48"", ""RNA::CARD8"", ""RNA::CHRDL2"", ""RNA::CLP1"", ""RNA::CNNM3"", ""RNA::CYTL1"", ""RNA::DCPS"", ""RNA::ECHDC3"", ""RNA::EEF1A1P9"", ""RNA::EEPD1"", ""RNA::ESM1"", ""RNA::FAM180B"", ""RNA::FOXD3"", ""RNA::FTHL3"", ""RNA::FYCO1"", ""RNA::G6PC2"", ""RNA::GCSH"", ""RNA::GDF7"", ""RNA::GMDS"", ""RNA::GOLGA6L5"", ""RNA::HCG22"", ""RNA::HDAC1"", ""RNA::HERC2"", ""RNA::HIST1H4H"", ""RNA::HNRNPA3P1"", ""RNA::HPS3"", ""RNA::HSPBAP1"", ""RNA::HTN3"", ""RNA::ID3"", ""RNA::IL9"", ""RNA::LEKR1"", ""RNA::LOC100129034"", ""RNA::LOC100132831"", ""RNA::LOC643387"", ""RNA::LOC728643"", ""RNA::MFNG"", ""RNA::MFSD2B"", ""RNA::MSX2"", ""RNA::MSX2P1"", ""RNA::NACAP1"", ""RNA::NUDT3"", ""RNA::OR6C75"", ""RNA::PA2G4P4"", ""RNA::PARP9"", ""RNA::PGRMC2"", ""RNA::PLEKHA4"", ""RNA::PMP2"", ""RNA::PPIAL4C"", ""RNA::PRRG2"", ""RNA::SCN7A"", ""RNA::SCRT2"", ""RNA::SLC47A1"", ""RNA::SNTG1"", ""RNA::SPATS2"", ""RNA::SUMF1"", ""RNA::SUMO1P3"", ""RNA::SYF2"", ""RNA::TAL1"", ""RNA::TAOK3"", ""RNA::TBC1D25"", ""RNA::THAP8"", ""RNA::THRAP3"", ""RNA::TRIM35"", ""RNA::ZNF596"", ""SCNV::KCTD15"", ""SCNV::ZNF254"", ""SCNV::ZNF726""]",75
1,2,svm_l1,rfecv_only,"[""RNA::AK2"", ""RNA::ASAP3"", ""RNA::CARD8"", ""RNA::EEF1A1P9"", ""RNA::FTHL3"", ""RNA::HDAC1"", ""RNA::HNRNPA3P1"", ""RNA::LOC100129034"", ""RNA::LOC643387"", ""RNA::LOC728643"", ""RNA::NACAP1"", ""RNA::PLEKHA4"", ""RNA::PPIAL4C"", ""RNA::SUMO1P3"", ""RNA::SYF2""]",15
