outer_repeat,outer_fold,branch,features,feature_count,rna_count,scnv_count
1,5,svm_l1,"[""RNA::C1orf87"", ""RNA::C22orf15"", ""RNA::CARD8"", ""RNA::CEP70"", ""RNA::CXorf21"", ""RNA::HAPLN1"", ""RNA::LEKR1"", ""RNA::LOC100129034"", ""RNA::LSM14A"", ""RNA::MYOZ2"", ""RNA::PPIAL4C"", ""RNA::SUMO1P3""]",12,12,0
1,5,xgboost,"[""RNA::ASAP3"", ""RNA::C9orf80"", ""RNA::CDK2AP1"", ""RNA::CTNNA3"", ""RNA::CTNNBL1"", ""RNA::CYP4F12"", ""RNA::EEF1A1P9"", ""RNA::FLYWCH1"", ""RNA::LOC100128292"", ""RNA::LRRK1"", ""RNA::NFIA"", ""RNA::NPLOC4"", ""RNA::NPVF"", ""RNA::PGF"", ""RNA::PLCZ1"", ""RNA::SMARCC2"", ""RNA::STK40"", ""RNA::TBRG4"", ""RNA::TMEM147""]",19,19,0
1,5,boruta_rf,"[""RNA::ACBD5"", ""RNA::ANXA2P1"", ""RNA::ASAP3"", ""RNA::ATP6V1C2"", ""RNA::CTCFL"", ""RNA::DYNC1H1"", ""RNA::GCSH"", ""RNA::GPX7"", ""RNA::HNRNPA3P1"", ""RNA::KTI12"", ""RNA::LOC644936"", ""RNA::LSM14A"", ""RNA::NACA2"", ""RNA::NCRNA00152"", ""RNA::PIGC"", ""RNA::PLEK2"", ""RNA::PPIAL4C"", ""RNA::RAB6C"", ""RNA::RGPD4"", ""RNA::SYNPO2""]",20,20,0
2,1,svm_l1,"[""RNA::FYCO1"", ""RNA::LOC100129034"", ""RNA::LOC644936"", ""RNA::NUDT3"", ""RNA::PGRMC2"", ""RNA::SEMA6A"", ""RNA::SFRS4"", ""RNA::SLC47A1"", ""RNA::SUMO1P3"", ""RNA::SYF2"", ""RNA::SYNPO2"", ""RNA::TFF2"", ""RNA::ZNF596"", ""SCNV::PEX14""]",14,13,1
2,1,xgboost,"[""RNA::ABCG1"", ""RNA::BFAR"", ""RNA::C12orf50"", ""RNA::CALCR"", ""RNA::DPPA4"", ""RNA::FETUB"", ""RNA::G6PC2"", ""RNA::GATSL2"", ""RNA::HECA"", ""RNA::LOC341056"", ""RNA::MS4A15"", ""RNA::NIPAL4"", ""RNA::PIK3R6"", ""RNA::RAI14"", ""RNA::SEMA6A"", ""RNA::SERTAD2"", ""RNA::SLC25A3"", ""RNA::SYCP2"", ""RNA::VEZT"", ""RNA::ZMAT2""]",20,20,0
2,1,boruta_rf,"[""RNA::ANXA2P1"", ""RNA::C12orf51"", ""RNA::C15orf21"", ""RNA::CASP6"", ""RNA::DEPDC1"", ""RNA::DOCK7"", ""RNA::DYNC1H1"", ""RNA::ERI1"", ""RNA::GNG5"", ""RNA::GUSBL1"", ""RNA::HNRNPA3P1"", ""RNA::IK"", ""RNA::LOC541471"", ""RNA::LOC728643"", ""RNA::MRPL36"", ""RNA::NPLOC4"", ""RNA::OSTC"", ""RNA::PNRC2""]",18,18,0
2,2,svm_l1,"[""RNA::ANKRD20B"", ""RNA::BNIP3L"", ""RNA::C14orf143"", ""RNA::C2orf61"", ""RNA::CARD8"", ""RNA::CHRDL2"", ""RNA::EEPD1"", ""RNA::HNRNPA3P1"", ""RNA::LAYN"", ""RNA::LEKR1"", ""RNA::MYH6"", ""RNA::NCRNA00169"", ""RNA::OR1L1"", ""RNA::TBC1D25"", ""RNA::THAP8""]",15,15,0
2,2,xgboost,"[""RNA::ABHD5"", ""RNA::AOC2"", ""RNA::ARSK"", ""RNA::ATP7B"", ""RNA::CCL1"", ""RNA::CNN3"", ""RNA::CTAGE4"", ""RNA::DNAJC5B"", ""RNA::FAF2"", ""RNA::FAM155B"", ""RNA::GBP7"", ""RNA::HERC2"", ""RNA::HIST1H2BE"", ""RNA::PAPPA2"", ""RNA::PLTP"", ""RNA::THRAP3"", ""RNA::TP53I3"", ""RNA::TRIM10"", ""RNA::UPB1"", ""RNA::ZNF443""]",20,20,0
2,2,boruta_rf,"[""RNA::AKAP6"", ""RNA::ASAP3"", ""RNA::ATP5EP2"", ""RNA::ATP8B5P"", ""RNA::CPEB3"", ""RNA::CTCFL"", ""RNA::FAM90A7"", ""RNA::GCSH"", ""RNA::GGTLC1"", ""RNA::GPX7"", ""RNA::HNRNPA3P1"", ""RNA::LDHA"", ""RNA::LRRC37A4"", ""RNA::LSM14A"", ""RNA::NUP37"", ""RNA::RHOC"", ""RNA::SBF1""]",17,17,0
2,3,svm_l1,"[""RNA::AGPAT4"", ""RNA::ASAP3"", ""RNA::C15orf21"", ""RNA::C4A"", ""RNA::HNRNPA3P1"", ""RNA::HTN3"", ""RNA::LHX5"", ""RNA::LONRF1"", ""RNA::MSX2"", ""RNA::OR4D11"", ""RNA::SLC47A1"", ""RNA::SLCO1A2"", ""RNA::SUN3"", ""RNA::SUSD3"", ""RNA::THRAP3"", ""SCNV::DAB1""]",16,15,1
2,3,xgboost,"[""RNA::ACAP3"", ""RNA::ALG12"", ""RNA::ANGEL2"", ""RNA::ARHGEF3"", ""RNA::C12orf59"", ""RNA::C6orf142"", ""RNA::CYP3A43"", ""RNA::FAM124A"", ""RNA::HNRNPA3P1"", ""RNA::HSD3B2"", ""RNA::IHH"", ""RNA::LOC90784"", ""RNA::MASTL"", ""RNA::PAPPA2"", ""RNA::PCDHB8"", ""RNA::PTGER2"", ""RNA::SECISBP2"", ""RNA::THRAP3"", ""RNA::TP53I13"", ""SCNV::DAB1""]",20,19,1
2,3,boruta_rf,"[""RNA::C10orf4"", ""RNA::C15orf21"", ""RNA::CEP170L"", ""RNA::CTCFL"", ""RNA::DDOST"", ""RNA::FAM90A7"", ""RNA::LOC643387"", ""RNA::LSM14A"", ""RNA::NALCN"", ""RNA::REXO2"", ""RNA::RPL13A"", ""RNA::RPL13AP3""]",12,12,0
2,4,svm_l1,"[""RNA::ABCG1"", ""RNA::ACSM2A"", ""RNA::ADAM2"", ""RNA::AK2"", ""RNA::FHL3"", ""RNA::FOXD3"", ""RNA::FOXG1"", ""RNA::HNRNPA3P1"", ""RNA::HSPBAP1"", ""RNA::LEKR1"", ""RNA::LOC100133050"", ""RNA::OR8D1"", ""RNA::PLEKHA4"", ""RNA::SUMO1P3"", ""RNA::ZNF263""]",15,15,0
2,4,xgboost,"[""RNA::ABCA12"", ""RNA::ABCA9"", ""RNA::ANKRD31"", ""RNA::C10orf75"", ""RNA::CALHM1"", ""RNA::CCDC41"", ""RNA::FAM98B"", ""RNA::FTHL3"", ""RNA::GPX3"", ""RNA::KIAA1409"", ""RNA::NADK"", ""RNA::NUDT11"", ""RNA::PLCB4"", ""RNA::PSMA8"", ""RNA::RPS27L"", ""RNA::SEPT9"", ""RNA::SUPT5H"", ""RNA::TOP1P2"", ""RNA::TRIP10"", ""RNA::VPS53"", ""SCNV::snoU13|ENSG00000238506.1""]",21,20,1
2,4,boruta_rf,"[""RNA::ATP8B5P"", ""RNA::CHGB"", ""RNA::CKLF"", ""RNA::CTCFL"", ""RNA::DGCR2"", ""RNA::DYNC1H1"", ""RNA::EDARADD"", ""RNA::EXTL3"", ""RNA::FAM90A7"", ""RNA::FTHL3"", ""RNA::GCSH"", ""RNA::GPX7"", ""RNA::KIAA1409"", ""RNA::LOC643387"", ""RNA::NALCN"", ""RNA::NOX4"", ""RNA::RPL23P8"", ""RNA::S100A10"", ""RNA::SNX3""]",19,19,0
2,5,svm_l1,"[""RNA::ANGEL2"", ""RNA::CT45A1"", ""RNA::ESM1"", ""RNA::G6PC2"", ""RNA::HIST1H4H"", ""RNA::MFNG"", ""RNA::MFSD2B"", ""RNA::PA2G4P4"", ""RNA::SHQ1"", ""RNA::SLC16A10"", ""RNA::SRXN1"", ""RNA::TARDBP"", ""RNA::TRIM35""]",13,13,0
2,5,xgboost,"[""RNA::ABCA10"", ""RNA::AFMID"", ""RNA::APBA3"", ""RNA::APLF"", ""RNA::APOBEC3G"", ""RNA::CYP21A2"", ""RNA::FAF2"", ""RNA::FCRLB"", ""RNA::FOXL2"", ""RNA::FTHL3"", ""RNA::GFOD2"", ""RNA::GLIS2"", ""RNA::LOC286467"", ""RNA::MRPL52"", ""RNA::PPCDC"", ""RNA::RNF183"", ""RNA::S1PR2"", ""RNA::TARDBP"", ""RNA::TTC39C"", ""SCNV::MAP3K6""]",20,19,1
2,5,boruta_rf,"[""RNA::ACBD5"", ""RNA::ATP8B5P"", ""RNA::BZW1"", ""RNA::DST"", ""RNA::EDARADD"", ""RNA::EIF3A"", ""RNA::FAF1"", ""RNA::FTHL3"", ""RNA::GCSH"", ""RNA::HIST1H2BE"", ""RNA::HMGN5"", ""RNA::IKBIP"", ""RNA::LOC442454"", ""RNA::MAGOH"", ""RNA::MFSD2B"", ""RNA::MYO18A"", ""RNA::NACA2"", ""RNA::NCRNA00152"", ""RNA::PVT1"", ""RNA::RAB6C""]",20,20,0
