outer_repeat,outer_fold,branch,method,n_features,model_seed,macro_ovr_auroc,macro_auprc,balanced_accuracy,accuracy,macro_f1
1,1,svm_l1,direct,82,51100,0.873000131803027,0.7310266098716263,0.6649516151015401,0.6464646464646465,0.646534055076729
1,1,svm_l1,rfecv_only,15,51100,0.8626343297778812,0.7358104075019287,0.6725273726772977,0.6565656565656566,0.6538610709891404
1,1,svm_l1,highest_locking_score,15,51100,0.864732558558642,0.7327696478520825,0.6694493662259778,0.6464646464646465,0.6618979998791468
1,1,svm_l1,legacy_top3_medoid,15,51100,0.8253854023556791,0.6523077230842618,0.651004043432829,0.6262626262626263,0.6405313684725449
1,1,svm_l1,unrestricted_medoid,15,51100,0.8253854023556791,0.6523077230842618,0.651004043432829,0.6262626262626263,0.6405313684725449
1,1,svm_l1,regret_constrained_medoid,15,51100,0.8253854023556791,0.6523077230842618,0.651004043432829,0.6262626262626263,0.6405313684725449
1,1,xgboost,direct,100,51110,0.8443183044810162,0.687385751988568,0.6540820498841489,0.6363636363636364,0.6343954248366013
1,1,xgboost,rfecv_only,20,51110,0.8538417060344493,0.7072202782715105,0.64875516787061,0.6262626262626263,0.6359825620389001
1,1,xgboost,highest_locking_score,20,51110,0.8562486175199854,0.714816839508657,0.6901435645813456,0.6666666666666666,0.6879610999329309
1,1,xgboost,legacy_top3_medoid,20,51110,0.8512640050549923,0.7049180014562815,0.6770251238017354,0.6565656565656566,0.6640218150768846
1,1,xgboost,unrestricted_medoid,20,51110,0.8592719866065848,0.7252246154134214,0.6866907455363227,0.6666666666666666,0.6779761904761905
1,1,xgboost,regret_constrained_medoid,20,51110,0.8562486175199854,0.714816839508657,0.6901435645813456,0.6666666666666666,0.6879610999329309
1,1,boruta_rf,direct,100,51120,0.8553906211417169,0.7061708451915087,0.6735723047567126,0.6565656565656566,0.654649631190727
1,1,boruta_rf,rfecv_only,8,51120,0.8164660138188327,0.6547271629147176,0.6703352869020035,0.6464646464646465,0.6559591536292636
1,1,boruta_rf,highest_locking_score,18,51120,0.8328822143641408,0.6760112956618618,0.6694493662259778,0.6464646464646465,0.6507218271924154
1,1,boruta_rf,legacy_top3_medoid,15,51120,0.8440576164567938,0.7006426279049197,0.6747762482395165,0.6565656565656566,0.6623247399366803
1,1,boruta_rf,unrestricted_medoid,18,51120,0.8607411103164423,0.7049858315195099,0.729953205215574,0.7171717171717171,0.7205004389815628
1,1,boruta_rf,regret_constrained_medoid,18,51120,0.8328822143641408,0.6760112956618618,0.6694493662259778,0.6464646464646465,0.6507218271924154
1,2,svm_l1,direct,75,51200,0.8472334231815657,0.7032886540791293,0.7007575757575758,0.6836734693877551,0.697319734345351
1,2,svm_l1,rfecv_only,15,51200,0.854111142984982,0.7300440778009791,0.6893939393939394,0.673469387755102,0.6821051307847082
1,2,svm_l1,highest_locking_score,15,51200,0.8413610383424625,0.7067739573239253,0.6734848484848484,0.6530612244897959,0.6685613390092879
1,2,svm_l1,legacy_top3_medoid,15,51200,0.8413610383424625,0.7067739573239253,0.6734848484848484,0.6530612244897959,0.6685613390092879
1,2,svm_l1,unrestricted_medoid,15,51200,0.8369548665988295,0.6910534934582384,0.6893939393939394,0.673469387755102,0.6828316610925307
1,2,svm_l1,regret_constrained_medoid,15,51200,0.8413610383424625,0.7067739573239253,0.6734848484848484,0.6530612244897959,0.6685613390092879
1,2,xgboost,direct,100,51210,0.8277949926750237,0.6672910709129258,0.6568181818181817,0.6326530612244898,0.651352559803264
1,2,xgboost,rfecv_only,20,51210,0.8338811730065601,0.6580256480212949,0.6992424242424242,0.6836734693877551,0.6911223105252956
1,2,xgboost,highest_locking_score,20,51210,0.8161770118426465,0.6714643541000282,0.6348484848484848,0.6122448979591837,0.624311307910575
1,2,xgboost,legacy_top3_medoid,20,51210,0.8241631304711801,0.6443578746524363,0.6583333333333332,0.6326530612244898,0.6544650545350172
1,2,xgboost,unrestricted_medoid,20,51210,0.8241631304711801,0.6443578746524363,0.6583333333333332,0.6326530612244898,0.6544650545350172
1,2,xgboost,regret_constrained_medoid,20,51210,0.8161770118426465,0.6714643541000282,0.6348484848484848,0.6122448979591837,0.624311307910575
1,2,boruta_rf,direct,100,51220,0.8433951626289088,0.7009532559797689,0.6878787878787879,0.673469387755102,0.6774891774891774
1,2,boruta_rf,rfecv_only,7,51220,0.8214514007664163,0.6613856560150797,0.6515151515151514,0.6326530612244898,0.6398174289478638
1,2,boruta_rf,highest_locking_score,18,51220,0.8271719186386369,0.6514855257005946,0.6446969696969697,0.6224489795918368,0.6359649122807016
1,2,boruta_rf,legacy_top3_medoid,19,51220,0.8327900041135335,0.6700592209949107,0.665151515151515,0.6428571428571429,0.659822944457919
1,2,boruta_rf,unrestricted_medoid,14,51220,0.8135428619368248,0.6426570800151931,0.6553030303030304,0.6224489795918368,0.6547663978955796
1,2,boruta_rf,regret_constrained_medoid,18,51220,0.8271719186386369,0.6514855257005946,0.6446969696969697,0.6224489795918368,0.6359649122807016
1,3,svm_l1,direct,83,51300,0.8111738815879682,0.6603456838306615,0.6106060606060606,0.5816326530612245,0.6098791755508174
1,3,svm_l1,rfecv_only,15,51300,0.8389571921886163,0.7062231466505093,0.6734848484848485,0.6428571428571429,0.674000438353636
1,3,svm_l1,highest_locking_score,15,51300,0.8256122940526966,0.6614711311676141,0.6303030303030303,0.6020408163265306,0.6229617717422595
1,3,svm_l1,legacy_top3_medoid,15,51300,0.8256122940526966,0.6614711311676141,0.6303030303030303,0.6020408163265306,0.6229617717422595
1,3,svm_l1,unrestricted_medoid,16,51300,0.7920026954469679,0.6363379105981855,0.5638111888111887,0.5510204081632653,0.5751499516743419
1,3,svm_l1,regret_constrained_medoid,15,51300,0.8256122940526966,0.6614711311676141,0.6303030303030303,0.6020408163265306,0.6229617717422595
1,3,xgboost,direct,100,51310,0.8214136933757678,0.6787144206861814,0.6530303030303031,0.6326530612244898,0.6433116596174484
