branch,method,metric,estimate,ci_low,ci_high,participants
svm_l1,direct,macro_ovr_auroc,0.8397084113296527,0.8191990947144429,0.8585583493354993,491
svm_l1,direct,macro_auprc,0.681341476133684,0.6552375833625899,0.7146073170284994,491
svm_l1,direct,balanced_accuracy,0.6724342029651764,0.6457393512513614,0.6999050225480375,491
svm_l1,direct,accuracy,0.6537678207739308,0.6211812627291242,0.6863543788187372,491
svm_l1,direct,macro_f1,0.6570002038466174,0.6269451340649047,0.6863342033630405,491
svm_l1,rfecv_only,macro_ovr_auroc,0.8372771611230525,0.8170817776785363,0.8573131230626323,491
svm_l1,rfecv_only,macro_auprc,0.67181188146449,0.6464589729391973,0.7083706045326618,491
svm_l1,rfecv_only,balanced_accuracy,0.6775861833067902,0.648197432834759,0.7057257375999475,491
svm_l1,rfecv_only,accuracy,0.654786150712831,0.6221995926680244,0.6873727087576375,491
svm_l1,rfecv_only,macro_f1,0.6688553199806658,0.6374781112857492,0.6988706525598715,491
svm_l1,highest_locking_score,macro_ovr_auroc,0.8323480098550822,0.8114940585783444,0.8517835616350694,491
svm_l1,highest_locking_score,macro_auprc,0.6678408334589039,0.644389112628184,0.701458357030727,491
svm_l1,highest_locking_score,balanced_accuracy,0.6518976335506044,0.6231756886181665,0.6789957896875564,491
svm_l1,highest_locking_score,accuracy,0.6283095723014256,0.5956975560081467,0.659877800407332,491
svm_l1,highest_locking_score,macro_f1,0.6409545958993197,0.6114222087112788,0.6693119440025165,491
svm_l1,legacy_top3_medoid,macro_ovr_auroc,0.8293102650602293,0.8097991510321009,0.8476611904877265,491
svm_l1,legacy_top3_medoid,macro_auprc,0.6630529491684549,0.639552951718749,0.6935243470530149,491
svm_l1,legacy_top3_medoid,balanced_accuracy,0.6597514790308723,0.632265790467434,0.686801876221124,491
svm_l1,legacy_top3_medoid,accuracy,0.6334012219959266,0.6008146639511203,0.6659877800407332,491
svm_l1,legacy_top3_medoid,macro_f1,0.6492038869550929,0.620143656771919,0.6765340798479591,491
svm_l1,unrestricted_medoid,macro_ovr_auroc,0.8210199939369573,0.8016490913559376,0.8392711080777172,491
svm_l1,unrestricted_medoid,macro_auprc,0.6518368899204927,0.6302656626439211,0.6822511112700475,491
svm_l1,unrestricted_medoid,balanced_accuracy,0.6410589094849525,0.6138246373569541,0.6680513067053048,491
svm_l1,unrestricted_medoid,accuracy,0.6171079429735233,0.584521384928717,0.6496945010183299,491
svm_l1,unrestricted_medoid,macro_f1,0.6319724768843418,0.6037922825893717,0.6594729407632735,491
svm_l1,regret_constrained_medoid,macro_ovr_auroc,0.8265017203217491,0.8067779533949337,0.8449738815937806,491
svm_l1,regret_constrained_medoid,macro_auprc,0.6569936526368205,0.6341955310534737,0.687669400551908,491
svm_l1,regret_constrained_medoid,balanced_accuracy,0.6492762873451875,0.6226327775679861,0.6760803988731454,491
svm_l1,regret_constrained_medoid,accuracy,0.6252545824847251,0.5936863543788187,0.6568482688391037,491
svm_l1,regret_constrained_medoid,macro_f1,0.6376984834264687,0.6100903235554118,0.6652409857492053,491
xgboost,direct,macro_ovr_auroc,0.8313628034801396,0.8104229876671282,0.8509820290771452,491
xgboost,direct,macro_auprc,0.6670585129307731,0.641639262416306,0.7013098860143763,491
xgboost,direct,balanced_accuracy,0.6649591453636965,0.6396568949381845,0.6906746077352904,491
xgboost,direct,accuracy,0.6476578411405296,0.6171079429735234,0.6782077393075356,491
xgboost,direct,macro_f1,0.6430245380816029,0.6140991386590299,0.671223477556852,491
xgboost,rfecv_only,macro_ovr_auroc,0.8258040892136563,0.8051996140765444,0.8449105322852977,491
xgboost,rfecv_only,macro_auprc,0.6520068189128445,0.6273422346656662,0.683285097628796,491
xgboost,rfecv_only,balanced_accuracy,0.6595608879110775,0.633882982798912,0.6834303357304304,491
xgboost,rfecv_only,accuracy,0.6384928716904277,0.6079429735234216,0.6670061099796334,491
xgboost,rfecv_only,macro_f1,0.6441437608810158,0.6166790417310173,0.6692034155558593,491
xgboost,highest_locking_score,macro_ovr_auroc,0.8320061901449414,0.8114864565488351,0.8510874306088525,491
xgboost,highest_locking_score,macro_auprc,0.6666653913239969,0.6429006012356839,0.701106056102833,491
xgboost,highest_locking_score,balanced_accuracy,0.6610434077090208,0.6352533729702662,0.6869050406767695,491
xgboost,highest_locking_score,accuracy,0.6395112016293278,0.609979633401222,0.670061099796334,491
xgboost,highest_locking_score,macro_f1,0.6470832442385411,0.6193079143162866,0.6741519538223426,491
xgboost,legacy_top3_medoid,macro_ovr_auroc,0.8236938921274437,0.8032311395440093,0.8429514839059434,491
xgboost,legacy_top3_medoid,macro_auprc,0.6491632937949277,0.6237375868551243,0.6829351495550824,491
