outer_repeat,branch,mean_fold_level_within_bank_seed_jaccard,mean_fold_level_within_bank_nogueira_stability,across_outer_fold_locked_jaccard,within_minus_across_jaccard
1,svm_l1,0.12107454483991216,0.038770777258531376,0.029333838575217885,0.09174070626469427
1,xgboost,0.1197453386803232,0.016959818909696646,0.01039136302294197,0.10935397565738122
1,boruta_rf,0.10577013397470865,0.01655940664977402,0.07447570182864302,0.03129443214606563
2,svm_l1,0.12863584553599544,0.04793089385235276,0.020829228243021344,0.1078066172929741
2,xgboost,0.12111841421322844,0.017242872913271624,0.010327260458839405,0.11079115375438904
2,boruta_rf,0.09295268170908322,-0.00847776247613119,0.068792395864633,0.02416028584445022
