dataset,branch,center,cap,condition,selection_rule,selected_run,selected_feature_count,direct_feature_count,compression_ratio,development_locking_metric,best_saved_run_score,selected_development_score,development_cv_regret,mean_pairwise_jaccard,selected_medoid_mean_jaccard,nogueira_seed_agreement,heldout_metric,heldout_estimate,heldout_direct_estimate,heldout_delta,heldout_source,selection_used_heldout,status,note
CGGA,svm_l1,CGGA fixed development/held-out split,not_applicable,no_penalty,legacy_top_three_medoid,4.0,23.0,35,0.34285714285714286,ROC AUROC,0.8800432900432901,0.8764935064935067,0.003549783549783414,0.46661591090901433,0.5216786661614248,0.14398496240601477,ROC AUROC,0.6226950354609929,0.6345153664302601,-0.011820330969267157,archived Table_S19 variant=no_penalty_medoid; joined after locking,False,complete,
CGGA,svm_l1,CGGA fixed development/held-out split,not_applicable,no_penalty,all_run_medoid,4.0,23.0,35,0.34285714285714286,ROC AUROC,0.8800432900432901,0.8764935064935067,0.003549783549783414,0.46661591090901433,0.5216786661614248,0.14398496240601477,,,,,,False,complete,
CGGA,svm_l1,CGGA fixed development/held-out split,not_applicable,no_penalty,regret_constrained_medoid_abs_0.01,4.0,23.0,35,0.34285714285714286,ROC AUROC,0.8800432900432901,0.8764935064935067,0.003549783549783414,0.46661591090901433,0.5216786661614248,0.14398496240601477,,,,,,False,complete,
CGGA,svm_l1,CGGA fixed development/held-out split,not_applicable,no_penalty,Direct,,35.0,35,0.0,ROC AUROC,0.8800432900432901,0.8543722943722944,0.025670995670995622,,,,ROC AUROC,0.6345153664302601,0.6345153664302601,0.0,archived Table_S19 variant=direct; joined after locking,False,complete,Comparator rescored with the same development-only CV design.
CGGA,svm_l1,CGGA fixed development/held-out split,not_applicable,no_penalty,RFECV-only,,15.0,35,0.5714285714285714,ROC AUROC,0.8800432900432901,0.8256709956709957,0.054372294372294405,,,,,,,,,False,complete,Comparator rescored with the same development-only CV design.
CGGA,svm_l1,CGGA fixed development/held-out split,not_applicable,penalty,highest_development_cv_run,1.0,15.0,35,0.5714285714285714,ROC AUROC,0.8733549783549783,0.8733549783549783,0.0,0.43175131504650954,0.39318652362130624,0.08173505798394287,ROC AUROC,0.6643026004728132,0.6345153664302601,0.029787234042553123,archived Table_S19 variant=single_run; joined after locking,False,complete,
CGGA,svm_l1,CGGA fixed development/held-out split,not_applicable,penalty,fixed_run_1,1.0,15.0,35,0.5714285714285714,ROC AUROC,0.8733549783549783,0.8733549783549783,0.0,0.43175131504650954,0.39318652362130624,0.08173505798394287,ROC AUROC,0.6643026004728132,0.6345153664302601,0.029787234042553123,archived Table_S19 variant=single_run; joined after locking,False,complete,
CGGA,svm_l1,CGGA fixed development/held-out split,not_applicable,penalty,legacy_top_three_medoid,4.0,16.0,35,0.5428571428571429,ROC AUROC,0.8733549783549783,0.8702380952380953,0.0031168831168830735,0.43175131504650954,0.4594155844155844,0.08173505798394287,ROC AUROC,0.6515366430260048,0.6345153664302601,0.017021276595744705,archived Table_S19 variant=full_medoid; joined after locking,False,complete,
CGGA,svm_l1,CGGA fixed development/held-out split,not_applicable,penalty,all_run_medoid,3.0,15.0,35,0.5714285714285714,ROC AUROC,0.8733549783549783,0.8585497835497836,0.01480519480519471,0.43175131504650954,0.46487141767462137,0.08173505798394287,,,,,,False,complete,
CGGA,svm_l1,CGGA fixed development/held-out split,not_applicable,penalty,regret_constrained_medoid_abs_0.01,4.0,16.0,35,0.5428571428571429,ROC AUROC,0.8733549783549783,0.8702380952380953,0.0031168831168830735,0.43175131504650954,0.4594155844155844,0.08173505798394287,ROC AUROC,0.6515366430260048,0.6345153664302601,0.017021276595744705,archived Table_S19 variant=full_medoid; joined after locking,False,complete,
