dataset,branch,center,cap,condition,target_count,selected_count,target_deviation,fraction_zero_legacy_fitness,zero_fraction_denominator,number_all_zero_generations,number_uniform_sampling_fallbacks,uniform_fallback_basis,final_development_score,selected_run,archived_run_id_zero_based,warning_status,known_failure_mode
AMP-AD,svm_l1,rush,low,legacy_zero_truncated,3,84,81,0.8,five retained run-best candidates,245,245,inferred: legacy generation best=0 implies all weights=0,0.8701235335751465,3,2,more_than_half_run_best_legacy_fitness_zero|all_zero_generation_detected|documented_ampad_svm_l1_rush_small_cap_failure_mode,True
AMP-AD,svm_l1,rush,reference,legacy_zero_truncated,18,30,12,0.0,five retained run-best candidates,45,45,inferred: legacy generation best=0 implies all weights=0,0.8826732633157365,3,2,all_zero_generation_detected,False
AMP-AD,xgboost,emory,high,legacy_zero_truncated,31,31,0,0.0,five retained run-best candidates,0,0,inferred: legacy generation best=0 implies all weights=0,0.825676020187642,4,3,none,False
AMP-AD,xgboost,emory,low,legacy_zero_truncated,9,22,13,0.0,five retained run-best candidates,55,55,inferred: legacy generation best=0 implies all weights=0,0.8193700973799736,5,4,all_zero_generation_detected,False
AMP-AD,xgboost,emory,reference,legacy_zero_truncated,17,20,3,0.0,five retained run-best candidates,23,23,inferred: legacy generation best=0 implies all weights=0,0.8206914964893934,1,0,all_zero_generation_detected,False
AMP-AD,xgboost,mayo,high,legacy_zero_truncated,21,27,6,0.0,five retained run-best candidates,7,7,inferred: legacy generation best=0 implies all weights=0,0.8422361595044523,1,0,all_zero_generation_detected,False
AMP-AD,xgboost,mayo,low,legacy_zero_truncated,10,22,12,0.0,five retained run-best candidates,37,37,inferred: legacy generation best=0 implies all weights=0,0.8620790509019063,2,1,all_zero_generation_detected,False
AMP-AD,xgboost,mayo,reference,legacy_zero_truncated,20,20,0,0.0,five retained run-best candidates,11,11,inferred: legacy generation best=0 implies all weights=0,0.8268715220509796,3,2,all_zero_generation_detected,False
AMP-AD,xgboost,mount_sinai,high,legacy_zero_truncated,34,34,0,0.0,five retained run-best candidates,0,0,inferred: legacy generation best=0 implies all weights=0,0.8666303130806611,4,3,none,False
AMP-AD,xgboost,mount_sinai,low,legacy_zero_truncated,10,20,10,0.0,five retained run-best candidates,31,31,inferred: legacy generation best=0 implies all weights=0,0.8613106698269872,2,1,all_zero_generation_detected,False
AMP-AD,xgboost,mount_sinai,reference,legacy_zero_truncated,19,22,3,0.0,five retained run-best candidates,6,6,inferred: legacy generation best=0 implies all weights=0,0.8614270087849387,5,4,all_zero_generation_detected,False
AMP-AD,xgboost,rush,high,legacy_zero_truncated,40,40,0,0.0,five retained run-best candidates,0,0,inferred: legacy generation best=0 implies all weights=0,0.8686749458133228,1,0,none,False
AMP-AD,xgboost,rush,low,legacy_zero_truncated,7,23,16,0.0,five retained run-best candidates,59,59,inferred: legacy generation best=0 implies all weights=0,0.8651676871136675,2,1,all_zero_generation_detected,False
AMP-AD,xgboost,rush,reference,legacy_zero_truncated,20,20,0,0.0,five retained run-best candidates,13,13,inferred: legacy generation best=0 implies all weights=0,0.8594687647506388,2,1,all_zero_generation_detected,False
